"Observed 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Ritz 
 Wavelength 
 Vac (nm)","Unc. 
 (nm)","Rel. 
 Int. 
(?)","Aki
 (s−1)",Acc.,"Ei 
 (cm−1)",,"Ek 
 (cm−1)","Lower Level 
 Conf., Term, J",,,"Upper Level 
 Conf., Term, J",,,Type,"TP
Ref.","Line
Ref."
,,,,,,,,,,,,,,,,,,
,,91.232366,0.0000008,,1.23E+02,AAA,0,-,[109 610.2232],1s,2S,1/2,40,,,,T8637,
,,91.2353295,0.0000008,,1.39E+02,AAA,0,-,[109 606.6628],1s,2S,1/2,39,,,,T8637,
,,91.2385303,0.0000008,,1.58E+02,AAA,0,-,[109 602.8177],1s,2S,1/2,38,,,,T8637,
,,91.2419943,0.0000008,,1.81E+02,AAA,0,-,[109 598.6566],1s,2S,1/2,37,,,,T8637,
,,91.2457513,0.0000008,,2.08E+02,AAA,0,-,[109 594.1439],1s,2S,1/2,36,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,91.2498352,0.0000008,,2.39E+02,AAA,0,-,[109 589.2390],1s,2S,1/2,35,,,,T8637,
,,91.2542852,0.0000008,,2.76E+02,AAA,0,-,[109 583.8949],1s,2S,1/2,34,,,,T8637,
,,91.2591463,0.0000008,,3.21E+02,AAA,0,-,[109 578.0577],1s,2S,1/2,33,,,,T8637,
,,91.2644709,0.0000008,,3.74E+02,AAA,0,-,[109 571.6647],1s,2S,1/2,32,,,,T8637,
,,91.2703197,0.0000008,,4.39E+02,AAA,0,-,[109 564.6431],1s,2S,1/2,31,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,91.2767639,0.0000008,,5.17E+02,AAA,0,-,[109 556.9077],1s,2S,1/2,30,,,,T8637,
,,91.2838873,0.0000008,,6.12E+02,AAA,0,-,[109 548.3584],1s,2S,1/2,29,,,,T8637,
,,91.2917887,0.0000008,,7.30E+02,AAA,0,-,[109 538.8768],1s,2S,1/2,28,,,,T8637,
,,91.3005859,0.0000008,,8.75E+02,AAA,0,-,[109 528.3223],1s,2S,1/2,27,,,,T8637,
,,91.3104195,0.0000008,,1.06E+03,AAA,0,-,[109 516.5267],1s,2S,1/2,26,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,91.3214592,0.0000008,,1.29E+03,AAA,0,-,[109 503.2875],1s,2S,1/2,25,,,,T8637,
,,91.3339105,0.0000008,,1.58E+03,AAA,0,-,[109 488.3592],1s,2S,1/2,24,,,,T8637,
,,91.3480251,0.0000008,,1.95E+03,AAA,0,-,[109 471.4416],1s,2S,1/2,23,,,,T8637,
,,91.3641133,0.0000008,,2.44E+03,AAA,0,-,[109 452.1650],1s,2S,1/2,22,,,,T8637,
,,91.3825609,0.0000008,,3.08E+03,AAA,0,-,[109 430.0696],1s,2S,1/2,21,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,91.4038537,0.0000008,,3.93E+03,AAA,0,-,[109 404.5776],1s,2S,1/2,20,,,,T8637,
,,91.4286086,0.0000008,,5.08E+03,AAA,0,-,[109 374.9555],1s,2S,1/2,19,,,,T8637,
,,91.4576201,0.0000008,,6.65E+03,AAA,0,-,[109 340.2604],1s,2S,1/2,18,,,,T8637,
,,91.4919242,0.0000008,,8.86E+03,AAA,0,-,[109 299.2642],1s,2S,1/2,17,,,,T8637,
,,91.5328932,0.0000008,,1.20E+04,AAA,0,-,[109 250.3433],1s,2S,1/2,16,,,,T8637,
,,,,,,,,,,,,,,,,,,
,,91.5823751,0.0000008,,1.66E+04,AAA,0,-,[109 191.3154],1s,2S,1/2,15,,,,T8637,
,,91.6429076,0.0000008,,2.34E+04,AAA,0,-,[109 119.1917],1s,2S,1/2,14,,,,T8637,
,,91.7180514,0.0000008,,3.39E+04,AAA,0,-,[109 029.7913],1s,2S,1/2,13,,,,T8637,
91.8125,0.0013,91.81293,0.0000004,5600,5.07E+04,AAA,0,-,108 917.1209,1s,2S,1/2,12,,,,T8637,L8834
91.81293175,0.00000003,91.81293175,0.00000003,,,,0,-,[108 917.11886],1s,2S,1/2,12s,2S,1/2,M1,,L15291c36
,,,,,,,,,,,,,,,,,,
91.813,0.002,91.81293046,0.00000003,,2.43E+06,AAA,0,-,[108 917.12039],1s,2S,1/2,12p,2P°,3/2,,T7771,L8445
91.813,0.002,91.81293188,0.00000003,,2.43E+06,AAA,0,-,[108 917.11870],1s,2S,1/2,12p,2P°,1/2,,T7771,L8445
91.9342,0.0014,91.9351334,0.0000005,6100,7.83E+04,AAA,0,-,108 772.3445,1s,2S,1/2,11,,,,T8637,L8834
91.9349,0.002,91.93513419,0.00000003,,3.16E+06,AAA,0,-,[108 772.34355],1s,2S,1/2,11p,2P°,3/2,,T7771,L8445
91.9349,0.002,91.93513605,0.00000003,,3.16E+06,AAA,0,-,[108 772.34135],1s,2S,1/2,11p,2P°,1/2,,T7771,L8445
,,,,,,,,,,,,,,,,,,
91.93513358,0.00000002,91.93513358,0.000000019,,,,0,-,[108 772.344270],1s,2S,1/2,11d,2D,5/2,E2,,L15291c37
91.93513586,0.00000003,91.93513586,0.00000003,,,,0,-,[108 772.34157],1s,2S,1/2,11s,2S,1/2,M1,,L15291c36
92.0947,0.0014,92.0963006,0.0000007,7400,1.26E+05,AAA,0,-,108 581.9945,1s,2S,1/2,10,,,,T8637,L8834
92.09630369,0.00000003,92.09630369,0.00000003,,,,0,-,[108 581.99080],1s,2S,1/2,10s,2S,1/2,M1,,L15291c36
92.097,0.002,92.09630145,0.00000003,,4.21E+06,AAA,0,-,[108 581.99344],1s,2S,1/2,10p,2P°,3/2,,T7771,L8445
,,,,,,,,,,,,,,,,,,
